Title,Reviews,Sold,Original Price,Store Name,Store City,Description,Order Processing,Positive Feedback,Total Feedback,Product URL
Keycaps Puller for PC Cherry MX Mechanical Keyboard ,,,Rp49.000,Arlisoon Shop,Jakarta Barat,"Mengganti tombol keyboard untuk para gamer merupakan hal yang cukup penting mengingat APM (Action Per Minute) pada tombol keyboard cukup signifikan. Dengan ini, mengganti tombol keyboard yang rusak akan menjadi lebih praktis dan gampang.High Quality MaterialKeycaps Puller / Alat pencabut tombol keyboard ini terbuat dari bahan material plastik berkualitas yang kokoh dan tidak mudah patah ketika digunakan untuk mencabut tombol keyboard.Great for FPS GamerMengganti tombol keyboard untuk para gamer FPS merupakan hal yang cukup penting mengingat APM (Action Per Minute) pada tombol keyboard cukup signifikan. Anda dapat mengganti tombol yang rusak ataupun dengan tombol keyboard custom.Puller for PC Keyboard and MX Switch KeycapsDengan alat ini, mengganti tombol keyboard akan menjadi lebih praktis dan tidak memakan banyak waktu.",± 1-2 hari,15.714 Feedback Positif,dari 15.714 feedback,https://www.bukalapak.com/p/komputer/aksesoris-226/aksesoris-lainnya-241/3lctw3-jual-keycaps-puller-for-pc-cherry-mx-mechanical-keyboard
Tuts Keyboard Tombol Keycaps Microsoft Surface Pro 1/2/3/4/5 ,,,Rp20.000,hendra benny prasetyo,Buleleng,"Tuts Keyboard Tombol Keycaps Microsoft Surface Pro 1/2/3/4/5Harga untuk 1pcs tuts ( termasuk clip )2ND bongkaran Original 100% testedcantumkan di note, kalau tidak dikirimkan random",± 1-2 hari,37 Feedback Positif,dari 38 feedback,https://www.bukalapak.com/p/komputer/aksesoris-226/keyboard/4hq38e7-jual-tuts-keyboard-tombol-keycaps-microsoft-surface-pro-1-2-3-4-5
Redragon SCARAB A130 PBT Pudding Keycaps for Mechanical Gaming Keyboard ,1 Ulasan,1 Terjual,Rp139.000,Clover Gaming Indonesia,Bandung,"Clover Gaming IndonesiaMOHON MESSAGE KAMI UNTUK CEK STOK LEBIH DULU :)Untuk mempermudah agan2 semua, silakan langsung message kami jika ada yang ingin ditanyakan :DSeluruh produk yang kami jual merupakan :100% Original100% BNIB100% Garansi ResmiWhat you see is what you getKepuasan agan adalah prioritas utama kami :)============================================REDRAGON SCARAB A130 FOR MECHANICAL GAMING KEYBOARDFor 104 Key mechanical keyboardsDouble shot PBT Pudding keycapsInclude key-puller",± 1-2 hari,3.247 Feedback Positif,dari 3.590 feedback,https://www.bukalapak.com/p/komputer/aksesoris-226/keyboard/4gdpse1-jual-redragon-scarab-a130-pbt-pudding-keycaps-for-mechanical-gaming-keyboard
KEYCAP PULLER - MECHANICAL KEYBOARD - METAL KEYCAPS PULLER ,,,Rp45.000,Rumah Keyboard,Jakarta Barat,KEYCAP PULLER - MECHANICAL KEYBOARD - METAL KEYCAPS PULLERBrand : AXE | MECHANICALSModel   : Keycap Puller for Mechanical KeyboardColor     : Blue / Purple / Gold / RedSuit For : Every Keycap,± 21 jam,6 Feedback Positif,dari 7 feedback,https://www.bukalapak.com/p/komputer/gaming/mouse-keyboard-gaming/4hhjzw1-jual-keycap-puller-mechanical-keyboard-metal-keycaps-puller
,,,,,,,,,,https://www.bukalapak.com/u/lisensiantivirus
,,,,,,,,,,https://www.bukalapak.com/u/clovergaming
Rexus Keyboard M64 Classic DAXA Keycaps Gaming Ultimate M64 RGB LED ,,,Rp1.000.000,Kedaitronik,Surabaya,"Terbaru dari lini Daxa, hadir dengan tampilan yang compact, modern, dan elegan, Keyboard Gaming Mekanikal DAXA M64 Classic menjadi pilihan terbaik untuk Anda yang membutuhkan keyboard ideal dengan banyak fungsi.Keyboard Gaming Mekanikal DAXA M64 Classic dilengkapi dengan 64 tombol anti-ghosting yang menggunakan profil XDA PBT dye-sub dan juga menjadi keyboard pertama Rexus yang memiliki south-facing switch yang dipersenjatai dengan Gateron KS-9 serta didukung teknologi Hotswappable yang tentunya memudahkan Anda yang gemar modifikasi keyboard.Keyboard Gaming Mekanikal DAXA M64 Classic sudah termasuk EVA foam pada case dan plate-nya, dan menggunakan stabilizer yang sudah pre-lubed sehingga suara yang dihasilkan saat melakukan pengetikan terdengar lebih lembut dan terasa lebih nyaman digunakan.Fitur Unggulan:Stylish Design in Two ColorsMusic Synchronize Through LED with Software50M Lifespan Gateron SwitchSouth-Facing Switches BetterHot-swappable SwitchDimensi dan desain yang simpel dan penuh gayaDua varian warna: Black dan WhiteTeknologi Hot-swappable switchSouth-Facing Switch untuk penggunaan segala jenis keycapDilengkapi dengan fungsi Macro untuk mendukung permainan dan aktivitas mengetik yang lebih mudah dan lengkapTeknologi music synchronize pada pengaturan LED yang dapat diatur dengan softwareKompatibel dengan semua platform sistem operasionalSpesifikasi TeknisLayout : 64 TombolLampu Latar : South-Facing RGB LEDMaterial Case : ABSKeycaps : 2-tone PBT Dye-SubDukungan Switch : Hotswap (3 & 5 Pin)Switch : Gateron KS-9Stabilizer : Pre-lubedKoneksi : KabelKabel : 1.8m Golded Braided Type-CDaya : 3.7V-5V / 300MaDukungan Sistem : Windows 98, 2000, XP, ME, Vista, Win7, Win8, Win10, Win11, dan Mac OSUkuran : 29011038mmIsi paket Daxa M64 Classic:1x Keyboard Daxa M64 Classic1x Kabel USB Type-C 1.8m1x Penarik Switch + Keycaps4pcs Switch Tambahan7pcs Keycaps Tambahan1x Panduan Pengguna1x Kartu Garansi",± 15 jam,8.634 Feedback Positif,dari 8.666 feedback,https://www.bukalapak.com/p/komputer/aksesoris-226/keyboard/4h36oi7-jual-rexus-keyboard-m64-classic-daxa-keycaps-gaming-ultimate-m64-rgb-led
Keycaps Mechanical Keyboard GUILTY CROWN INORI 136 Keys PBT Cherry Profile ,,,Rp469.000,Gaming Distro,Jakarta Pusat,"Hi, Welcome to GAMING DISTRO - Authorized Gaming StoreProduk ini 100% NEWHarap untuk menanyakan stok sebelum orderPengiriman via Ojek-Online harap konfirmasi ke kita dulu sebelum checkoutHarap Lakukan video unboxing (tanpa cut/edit) dari ketika paket diterima guna memudahkan & memberikan info valid saat pelaporan barang jika terdapat kendalaProfil CherryBahan dari PBT (Polybutylene Terephthalate) Dyesub136 keysetTidak tembus lampu LEDCocok untuk mechanical keyboard dengan switch : Cherry MX, Outemu, GateronKeycaps 100% NEWCocok untuk ukuran Full size, TKL, dan 60%",± 1-2 hari,1.216 Feedback Positif,dari 1.275 feedback,https://www.bukalapak.com/p/komputer/aksesoris-226/keyboard/4hhlck4-jual-keycaps-mechanical-keyboard-guilty-crown-inori-136-keys-pbt-cherry-profile
,,,,,,,,,,https://www.bukalapak.com/u/ijall99
Keycaps Mechanical Keyboard WEATHER HIRAGANA 132 Keys PBT XDA Profile ,,,Rp469.000,Gaming Distro,Jakarta Pusat,"Hi, Welcome to GAMING DISTRO - Authorized Gaming StoreProduk ini 100% NEWHarap untuk menanyakan stok sebelum orderPengiriman via Ojek-Online harap konfirmasi ke kita dulu sebelum checkoutHarap Lakukan video unboxing (tanpa cut/edit) dari ketika paket diterima guna memudahkan & memberikan info valid saat pelaporan barang jika terdapat kendalaBahan : PBTProfile : XDAWarna : Dye-SubJumlah : 132 KeysFont : EN/HiraganaKompatible : 61/64/68/78/84/87/96/98/104/108 tombol keyboard mekanik(Anda dapat berkonsultasi dengan chat untuk kompatibilitas saat membeli)Cocok untuk mechanical keyboard dengan switch : Cherry MX, Outemu, Gateron, Etc",± 1-2 hari,1.216 Feedback Positif,dari 1.275 feedback,https://www.bukalapak.com/p/komputer/aksesoris-226/keyboard/4hhlcld-jual-keycaps-mechanical-keyboard-weather-hiragana-132-keys-pbt-xda-profile
,,,,,,,,,,https://www.bukalapak.com/u/rumah_keyboard_990137
,,,,,,,,,,https://www.bukalapak.com/u/syasha_861626
Mechanical Keyboard Keycaps Gaming Imperion Rainbow ,,,Rp113.000,syasha,Jakarta Selatan,465492915Specification :* Tombol : 37 Tombol* Material : ABS* Compatible : Semua keyboard MechanicalModel : AJAZZ AK33 RGBKey Number :82 KeysAntighost Keys :Full Antighost keysKey Pressure :60+/-20gfKey Life :More than 50 million timesProduct Weight :60+/-20gSize :310.5 x 120 x 36.8 +/-0.5mmCable Length :1.6mSKU : 3131/1056415779167846400/55,± 2-3 hari,1 Feedback Positif,dari 10 feedback,https://www.bukalapak.com/p/komputer/aksesoris-226/keyboard/4fk34ws-jual-mechanical-keyboard-keycaps-gaming-imperion-rainbow
